State,Weather,Budget Level,Budget (INR),Transportation Options,Food,Hotels,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights,Number of Days in Package,Average Daily Activity Cost,Average Daily Food Cost,Number of Famous Places Covered,Overall Rating (Out of 5),Discount Percentage,Train Cost (Low),Train Cost (High),Bus Cost (Low),Bus Cost (High),Flight Cost (Low),Flight Cost (High),Car Rental Cost (Low),Car Rental Cost (High)
Tripura,Rainy,High,11077,Cost Level: High,Local Cuisine: 1700 INR per day,3-star: 2695 INR per night,"Ujjayanta Palace, Neermahal",Boating,Moderate,4.5/5,Winter,"Bengali, Kokborok",Very Safe,No,Art Exhibitions,6,1967,1700,2,4.5,29,598,1043,231,800,4264,6436,1847,3608
Manipur,Pleasant,High,44149,Cost Level: High,Local Cuisine: 1737 INR per day,Homestay: 1655 INR per night,"Loktak Lake, Kangla Fort",Trekking,High,4.9/5,Monsoon,Manipuri,Moderately Safe,Yes,Local Traditions,10,958,1737,2,4.9,22,302,1261,189,644,3223,6240,1737,3287
Mizoram,Sunny,Medium,49222,Cost Level: Low,Local Cuisine: 1821 INR per day,Homestay: 4767 INR per night,"Vantawng Falls, Phawngpui National Park","Boating, Wildlife Safari",Low,3.8/5,Summer,Mizo,Very Safe,No,Festival,7,1654,1821,2,3.8,27,504,1964,185,583,3153,6944,908,3174
Assam,Sunny,High,35186,Cost Level: High,Local Cuisine: 1935 INR per day,3-star: 1742 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Cultural Tours, Boating",Moderate,4.4/5,Summer,Assamese,Moderately Safe,Yes,Festival,7,692,1935,2,4.4,22,653,1771,101,644,4454,9702,1558,3592
Nagaland,Pleasant,Low,34646,Cost Level: High,Local Cuisine: 1447 INR per day,Homestay: 3071 INR per night,"Dzükou Valley, Kohima War Cemetery",Cultural Tours,Low,4.5/5,Summer,"English, Nagamese",Very Safe,No,Art Exhibitions,8,1287,1447,2,4.5,5,741,1746,285,889,4663,8776,1790,3188
Nagaland,Chilly,Medium,30180,Cost Level: High,Local Cuisine: 1282 INR per day,Homestay: 1058 INR per night,"Dzükou Valley, Kohima War Cemetery",Boating,Low,3.6/5,Monsoon,"English, Nagamese",Moderately Safe,Yes,Local Traditions,3,1072,1282,2,3.6,20,753,1556,175,577,3782,6906,819,3574
Arunachal Pradesh,Rainy,High,36919,Cost Level: High,Local Cuisine: 1748 INR per day,Luxury Resort: 3705 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, River Rafting, Trekking",High,4.5/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Local Traditions,9,1179,1748,2,4.5,7,520,1239,293,622,3909,6834,1028,3018
Mizoram,Rainy,Medium,17675,Cost Level: Low,Local Cuisine: 1842 INR per day,3-star: 4090 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Trekking",Low,4.0/5,Summer,Mizo,Safe for Solo Travelers,No,Art Exhibitions,10,1355,1842,2,4.0,16,354,1550,292,883,3852,9917,1144,2739
Manipur,Rainy,Medium,6466,Cost Level: Low,Local Cuisine: 1480 INR per day,Luxury Resort: 3849 INR per night,"Loktak Lake, Kangla Fort",River Rafting,Low,4.0/5,Summer,Manipuri,Safe for Solo Travelers,No,Local Traditions,6,594,1480,2,4.0,14,388,1916,284,883,4304,6263,1817,3759
Meghalaya,Sunny,High,29856,Cost Level: High,Local Cuisine: 612 INR per day,Luxury Resort: 2884 INR per night,"Cherrapunji, Living Root Bridges","River Rafting, Cultural Tours, Boating",Moderate,4.7/5,Summer,"Khasi, Garo",Very Safe,No,Festival,8,864,612,2,4.7,6,515,1824,192,548,3584,6323,1433,3925
Meghalaya,Chilly,High,46621,Cost Level: High,Local Cuisine: 1349 INR per day,Luxury Resort: 4069 INR per night,"Cherrapunji, Living Root Bridges",Wildlife Safari,Low,3.7/5,Summer,"Khasi, Garo",Very Safe,No,Art Exhibitions,10,766,1349,2,3.7,11,691,1212,157,914,3950,8292,1618,3682
Tripura,Pleasant,Medium,15922,Cost Level: High,Local Cuisine: 2000 INR per day,Homestay: 4273 INR per night,"Neermahal, Ujjayanta Palace","Trekking, River Rafting, Cultural Tours",Low,4.9/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,No,Local Traditions,8,883,2000,2,4.9,27,440,1725,171,927,4191,6472,1014,2506
Nagaland,Sunny,Low,21272,Cost Level: High,Local Cuisine: 1530 INR per day,Homestay: 3555 INR per night,"Kohima War Cemetery, Dzükou Valley","Trekking, Wildlife Safari, Cultural Tours",Moderate,4.8/5,Winter,"English, Nagamese",Safe for Solo Travelers,No,Festival,7,563,1530,2,4.8,5,470,1380,255,632,4960,6554,1802,2506
Arunachal Pradesh,Sunny,Low,5555,Cost Level: Low,Local Cuisine: 1603 INR per day,3-star: 3445 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, Boating, River Rafting",Moderate,4.2/5,Monsoon,"Hindi, English",Very Safe,No,Local Traditions,4,564,1603,2,4.2,7,338,1551,288,950,3653,6002,1481,2782
Nagaland,Chilly,Low,24855,Cost Level: Low,Local Cuisine: 1800 INR per day,3-star: 1904 INR per night,"Dzükou Valley, Kohima War Cemetery",Cultural Tours,Moderate,4.6/5,Summer,"English, Nagamese",Safe for Solo Travelers,Yes,Art Exhibitions,9,1906,1800,2,4.6,21,683,1215,284,714,3751,7123,1329,3882
Assam,Rainy,High,14499,Cost Level: Low,Local Cuisine: 771 INR per day,3-star: 3078 INR per night,"Kaziranga National Park, Majuli Island",Trekking,Low,4.1/5,Summer,Assamese,Safe for Solo Travelers,Yes,Local Traditions,3,1348,771,2,4.1,27,601,1610,290,797,4250,8891,1531,2582
Manipur,Sunny,High,46104,Cost Level: High,Local Cuisine: 1291 INR per day,Homestay: 1810 INR per night,"Loktak Lake, Kangla Fort","Boating, River Rafting, Wildlife Safari",Low,3.6/5,Summer,Manipuri,Moderately Safe,Yes,Local Traditions,5,920,1291,2,3.6,27,796,1101,259,842,3994,6630,943,3571
Assam,Pleasant,High,44974,Cost Level: Low,Local Cuisine: 695 INR per day,3-star: 4694 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, Boating",Moderate,4.1/5,Monsoon,Assamese,Moderately Safe,Yes,Festival,7,1523,695,2,4.1,10,503,1437,212,650,4839,7304,980,2965
Tripura,Rainy,Low,17300,Cost Level: High,Local Cuisine: 579 INR per day,3-star: 1171 INR per night,"Neermahal, Ujjayanta Palace",River Rafting,High,4.9/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Local Traditions,8,600,579,2,4.9,15,436,1731,145,729,4060,9989,1078,2748
Tripura,Chilly,Low,49269,Cost Level: High,Local Cuisine: 1775 INR per day,3-star: 2611 INR per night,"Ujjayanta Palace, Neermahal","Cultural Tours, Trekking, River Rafting",Moderate,4.6/5,Monsoon,"Bengali, Kokborok",Moderately Safe,No,Local Traditions,3,1001,1775,2,4.6,18,601,1481,143,975,4336,9023,1715,2811
Meghalaya,Pleasant,Medium,13124,Cost Level: High,Local Cuisine: 1087 INR per day,Homestay: 3536 INR per night,"Living Root Bridges, Cherrapunji","Cultural Tours, Boating, River Rafting",Moderate,4.5/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions,4,710,1087,2,4.5,30,712,1552,160,809,3065,7625,819,2824
Meghalaya,Sunny,Medium,40212,Cost Level: High,Local Cuisine: 894 INR per day,3-star: 4105 INR per night,"Living Root Bridges, Cherrapunji",Wildlife Safari,Low,4.3/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,Yes,Art Exhibitions,3,1467,894,2,4.3,18,656,1416,277,689,4989,9732,977,3379
Mizoram,Sunny,Medium,17270,Cost Level: High,Local Cuisine: 893 INR per day,3-star: 2538 INR per night,"Phawngpui National Park, Vantawng Falls","Wildlife Safari, Cultural Tours",Moderate,4.1/5,Summer,Mizo,Very Safe,Yes,Art Exhibitions,9,1322,893,2,4.1,24,332,1769,230,677,4191,6929,1668,3879
Manipur,Rainy,High,47375,Cost Level: Low,Local Cuisine: 1738 INR per day,Luxury Resort: 3895 INR per night,"Kangla Fort, Loktak Lake",River Rafting,Low,4.4/5,Monsoon,Manipuri,Moderately Safe,Yes,Festival,4,1193,1738,2,4.4,15,374,1120,133,931,4759,7288,909,3909
Meghalaya,Pleasant,Medium,5388,Cost Level: High,Local Cuisine: 1549 INR per day,Homestay: 4467 INR per night,"Cherrapunji, Living Root Bridges","Cultural Tours, Boating, Wildlife Safari",Moderate,4.5/5,Winter,"Khasi, Garo",Very Safe,Yes,Festival,7,1419,1549,2,4.5,30,548,1269,259,617,3505,8122,1523,2615
Arunachal Pradesh,Chilly,Low,29216,Cost Level: Low,Local Cuisine: 1963 INR per day,Luxury Resort: 1681 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Trekking, Boating",High,3.9/5,Summer,"Hindi, English",Safe for Solo Travelers,No,Local Traditions,3,954,1963,2,3.9,8,719,1567,101,767,4791,8308,925,3367
Manipur,Sunny,Low,8813,Cost Level: High,Local Cuisine: 1409 INR per day,3-star: 2035 INR per night,"Loktak Lake, Kangla Fort","Trekking, River Rafting",Low,3.5/5,Summer,Manipuri,Very Safe,No,Festival,8,1363,1409,2,3.5,6,499,1038,184,644,4147,8665,1224,3300
Arunachal Pradesh,Sunny,Low,22454,Cost Level: High,Local Cuisine: 1064 INR per day,3-star: 4838 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Cultural Tours",High,3.7/5,Summer,"Hindi, English",Very Safe,No,Local Traditions,7,613,1064,2,3.7,12,335,1455,200,647,4275,6102,1411,2548
Nagaland,Chilly,Low,7803,Cost Level: High,Local Cuisine: 1105 INR per day,3-star: 1604 INR per night,"Dzükou Valley, Kohima War Cemetery",Trekking,Moderate,4.9/5,Summer,"English, Nagamese",Very Safe,No,Local Traditions,6,1751,1105,2,4.9,8,553,1156,203,610,3840,6731,1698,3812
Assam,Rainy,Medium,31015,Cost Level: High,Local Cuisine: 1335 INR per day,Homestay: 2716 INR per night,"Majuli Island, Kaziranga National Park",Wildlife Safari,Low,4.3/5,Monsoon,Assamese,Safe for Solo Travelers,No,Festival,9,1110,1335,2,4.3,14,412,1446,112,717,4370,9118,1978,2947
Tripura,Chilly,High,9815,Cost Level: High,Local Cuisine: 614 INR per day,Homestay: 4697 INR per night,"Neermahal, Ujjayanta Palace","River Rafting, Cultural Tours",Low,4.5/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Festival,7,891,614,2,4.5,5,553,1113,279,527,4827,6736,1170,3803
Arunachal Pradesh,Chilly,Medium,38319,Cost Level: High,Local Cuisine: 1371 INR per day,Luxury Resort: 4056 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Cultural Tours, River Rafting",Low,3.7/5,Monsoon,"Hindi, English",Moderately Safe,No,Festival,3,1451,1371,2,3.7,24,491,1590,179,790,3770,7463,1210,3591
Manipur,Rainy,High,41990,Cost Level: Low,Local Cuisine: 1829 INR per day,3-star: 4370 INR per night,"Loktak Lake, Kangla Fort","Trekking, Wildlife Safari, Cultural Tours",Low,4.1/5,Summer,Manipuri,Safe for Solo Travelers,No,Festival,9,954,1829,2,4.1,21,704,1904,257,728,4976,8773,841,2944
Assam,Sunny,Medium,45180,Cost Level: High,Local Cuisine: 1946 INR per day,Homestay: 2072 INR per night,"Kaziranga National Park, Majuli Island","Wildlife Safari, Cultural Tours",Moderate,3.8/5,Winter,Assamese,Safe for Solo Travelers,No,Local Traditions,4,1174,1946,2,3.8,23,657,1469,293,883,3804,6766,1934,2687
Nagaland,Chilly,Medium,45061,Cost Level: High,Local Cuisine: 1978 INR per day,3-star: 2830 INR per night,"Kohima War Cemetery, Dzükou Valley",Trekking,High,4.3/5,Winter,"English, Nagamese",Moderately Safe,Yes,Festival,6,1827,1978,2,4.3,11,563,1785,130,511,3147,8202,968,3139
Arunachal Pradesh,Chilly,Low,43024,Cost Level: Low,Local Cuisine: 1078 INR per day,Homestay: 1794 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Boating, River Rafting",Low,3.6/5,Summer,"Hindi, English",Moderately Safe,No,Local Traditions,10,1238,1078,2,3.6,23,555,1692,154,873,4736,9620,1950,3392
Meghalaya,Pleasant,High,45193,Cost Level: Low,Local Cuisine: 1456 INR per day,Luxury Resort: 3419 INR per night,"Living Root Bridges, Cherrapunji","River Rafting, Trekking, Cultural Tours",Moderate,4.8/5,Monsoon,"Khasi, Garo",Very Safe,Yes,Local Traditions,8,1998,1456,2,4.8,29,661,1882,183,516,3152,8280,1985,3244
Arunachal Pradesh,Rainy,Low,36970,Cost Level: Low,Local Cuisine: 1201 INR per day,3-star: 3974 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, Wildlife Safari",Moderate,4.6/5,Winter,"Hindi, English",Moderately Safe,Yes,Local Traditions,4,1722,1201,2,4.6,24,774,1866,250,589,3575,8302,1755,3204
Manipur,Chilly,Low,32796,Cost Level: High,Local Cuisine: 1719 INR per day,Homestay: 2443 INR per night,"Loktak Lake, Kangla Fort","Boating, Cultural Tours",Moderate,3.8/5,Monsoon,Manipuri,Safe for Solo Travelers,Yes,Local Traditions,5,1278,1719,2,3.8,5,715,1460,249,885,4767,8552,1302,2898
Arunachal Pradesh,Rainy,High,40613,Cost Level: High,Local Cuisine: 710 INR per day,3-star: 1128 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Boating",Low,4.6/5,Winter,"Hindi, English",Moderately Safe,No,Local Traditions,6,1439,710,2,4.6,29,572,1131,166,503,3985,9333,866,3062
Mizoram,Chilly,High,34861,Cost Level: High,Local Cuisine: 1142 INR per day,Luxury Resort: 1494 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, Cultural Tours",Moderate,4.9/5,Monsoon,Mizo,Very Safe,Yes,Local Traditions,3,1738,1142,2,4.9,30,337,1857,168,615,3836,8997,915,3441
Arunachal Pradesh,Sunny,Medium,47063,Cost Level: Low,Local Cuisine: 587 INR per day,Homestay: 3986 INR per night,"Tawang Monastery, Ziro Valley",Trekking,Low,4.1/5,Monsoon,"Hindi, English",Very Safe,Yes,Festival,5,1930,587,2,4.1,17,509,1282,133,705,3538,7137,1691,3907
Manipur,Rainy,High,25671,Cost Level: High,Local Cuisine: 1251 INR per day,Luxury Resort: 3788 INR per night,"Loktak Lake, Kangla Fort",Wildlife Safari,High,3.6/5,Winter,Manipuri,Safe for Solo Travelers,No,Festival,6,597,1251,2,3.6,13,491,1464,175,884,4234,6075,1006,3417
Nagaland,Chilly,Low,20970,Cost Level: High,Local Cuisine: 1773 INR per day,3-star: 1956 INR per night,"Kohima War Cemetery, Dzükou Valley","Wildlife Safari, Cultural Tours, River Rafting",High,5.0/5,Summer,"English, Nagamese",Very Safe,No,Art Exhibitions,7,1225,1773,2,5.0,21,336,1230,235,818,3260,7618,1856,2897
Arunachal Pradesh,Pleasant,Low,28214,Cost Level: Low,Local Cuisine: 1436 INR per day,Luxury Resort: 3019 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, River Rafting",Low,3.8/5,Monsoon,"Hindi, English",Moderately Safe,No,Local Traditions,3,725,1436,2,3.8,13,347,1170,206,929,4152,6645,1647,3436
Arunachal Pradesh,Pleasant,High,37291,Cost Level: Low,Local Cuisine: 639 INR per day,Homestay: 1203 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Trekking, Wildlife Safari",High,4.0/5,Summer,"Hindi, English",Moderately Safe,Yes,Art Exhibitions,3,1978,639,2,4.0,9,718,1864,201,871,4433,8737,1766,3449
Manipur,Sunny,High,15337,Cost Level: High,Local Cuisine: 1602 INR per day,Homestay: 2214 INR per night,"Kangla Fort, Loktak Lake",Boating,Moderate,4.2/5,Summer,Manipuri,Safe for Solo Travelers,No,Local Traditions,7,1852,1602,2,4.2,29,667,1053,295,653,4985,8407,965,2980
Arunachal Pradesh,Chilly,Low,42289,Cost Level: Low,Local Cuisine: 1704 INR per day,Homestay: 1587 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Wildlife Safari, Boating",Low,5.0/5,Winter,"Hindi, English",Very Safe,Yes,Local Traditions,10,999,1704,2,5.0,18,797,1847,177,969,4631,7082,1902,3531
Tripura,Sunny,Low,9378,Cost Level: High,Local Cuisine: 1500 INR per day,3-star: 1004 INR per night,"Ujjayanta Palace, Neermahal","Boating, Wildlife Safari",Moderate,4.4/5,Monsoon,"Bengali, Kokborok",Moderately Safe,Yes,Local Traditions,5,1314,1500,2,4.4,10,516,1536,256,931,3562,8061,1607,2569
Mizoram,Chilly,Medium,20081,Cost Level: High,Local Cuisine: 1888 INR per day,3-star: 2064 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, Trekking, Cultural Tours",High,4.9/5,Monsoon,Mizo,Very Safe,Yes,Art Exhibitions,9,1220,1888,2,4.9,8,672,1802,150,943,4925,9160,1260,3753
Nagaland,Chilly,Low,33077,Cost Level: Low,Local Cuisine: 1222 INR per day,3-star: 1304 INR per night,"Dzükou Valley, Kohima War Cemetery","Wildlife Safari, Cultural Tours, River Rafting",High,4.1/5,Winter,"English, Nagamese",Safe for Solo Travelers,No,Festival,8,1345,1222,2,4.1,28,474,1289,159,854,4576,6337,1337,3733
Meghalaya,Rainy,Low,14770,Cost Level: High,Local Cuisine: 1263 INR per day,3-star: 2153 INR per night,"Living Root Bridges, Cherrapunji","Cultural Tours, Trekking",Low,4.6/5,Summer,"Khasi, Garo",Moderately Safe,No,Art Exhibitions,6,1779,1263,2,4.6,21,317,1210,171,956,3563,9688,1018,3056
Assam,Chilly,Low,45679,Cost Level: High,Local Cuisine: 1061 INR per day,3-star: 4668 INR per night,"Kaziranga National Park, Majuli Island","River Rafting, Boating",High,3.6/5,Summer,Assamese,Safe for Solo Travelers,No,Festival,10,797,1061,2,3.6,11,311,1335,139,593,3994,7713,1156,3474
Assam,Chilly,High,17636,Cost Level: Low,Local Cuisine: 1302 INR per day,Homestay: 1156 INR per night,"Majuli Island, Kaziranga National Park","River Rafting, Boating, Wildlife Safari",Moderate,3.7/5,Monsoon,Assamese,Moderately Safe,Yes,Art Exhibitions,8,672,1302,2,3.7,6,641,1052,247,899,4476,9416,1287,3391
Arunachal Pradesh,Sunny,Low,41583,Cost Level: Low,Local Cuisine: 935 INR per day,3-star: 2588 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Cultural Tours, Wildlife Safari",Low,4.0/5,Winter,"Hindi, English",Moderately Safe,No,Art Exhibitions,5,584,935,2,4.0,7,549,1041,233,947,3124,7949,1869,3793
Arunachal Pradesh,Pleasant,Low,20015,Cost Level: High,Local Cuisine: 1695 INR per day,Luxury Resort: 4089 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, Trekking",Moderate,4.7/5,Monsoon,"Hindi, English",Moderately Safe,Yes,Art Exhibitions,7,1524,1695,2,4.7,24,494,1526,144,609,3255,8289,1594,3757
Tripura,Chilly,Low,46633,Cost Level: High,Local Cuisine: 952 INR per day,3-star: 2673 INR per night,"Neermahal, Ujjayanta Palace","Boating, Wildlife Safari",Low,4.2/5,Monsoon,"Bengali, Kokborok",Very Safe,Yes,Art Exhibitions,4,1010,952,2,4.2,27,416,1726,270,717,4618,9473,1547,3051
Manipur,Pleasant,High,23968,Cost Level: High,Local Cuisine: 1674 INR per day,Luxury Resort: 1247 INR per night,"Kangla Fort, Loktak Lake","Boating, Wildlife Safari",High,3.6/5,Winter,Manipuri,Very Safe,Yes,Local Traditions,6,1976,1674,2,3.6,6,798,1447,161,735,3297,8118,1776,2808
Manipur,Rainy,Low,35647,Cost Level: Low,Local Cuisine: 634 INR per day,Homestay: 2314 INR per night,"Kangla Fort, Loktak Lake","River Rafting, Cultural Tours",Moderate,4.4/5,Winter,Manipuri,Very Safe,Yes,Local Traditions,4,627,634,2,4.4,8,552,1401,146,632,3696,9156,1495,3624
Meghalaya,Sunny,Medium,19828,Cost Level: High,Local Cuisine: 1184 INR per day,3-star: 1818 INR per night,"Cherrapunji, Living Root Bridges",Cultural Tours,Low,4.7/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions,5,1010,1184,2,4.7,18,321,1580,145,814,3351,7779,1592,3014
Assam,Chilly,Low,18865,Cost Level: High,Local Cuisine: 1393 INR per day,Homestay: 3219 INR per night,"Kaziranga National Park, Majuli Island",Cultural Tours,Moderate,4.7/5,Winter,Assamese,Moderately Safe,No,Local Traditions,7,1488,1393,2,4.7,19,379,1846,268,648,4338,8483,1439,3464
Mizoram,Sunny,Low,30991,Cost Level: Low,Local Cuisine: 950 INR per day,3-star: 4819 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Wildlife Safari",Moderate,3.9/5,Summer,Mizo,Moderately Safe,Yes,Festival,6,1354,950,2,3.9,13,306,1940,283,808,3435,6333,1407,3232
Meghalaya,Chilly,Low,26541,Cost Level: Low,Local Cuisine: 1951 INR per day,3-star: 4208 INR per night,"Cherrapunji, Living Root Bridges","Wildlife Safari, River Rafting, Cultural Tours",High,3.9/5,Summer,"Khasi, Garo",Safe for Solo Travelers,Yes,Local Traditions,10,1192,1951,2,3.9,6,482,1557,126,762,4524,9081,1866,2653
Mizoram,Rainy,Low,21953,Cost Level: High,Local Cuisine: 747 INR per day,Luxury Resort: 3953 INR per night,"Phawngpui National Park, Vantawng Falls","Trekking, River Rafting",Moderate,4.4/5,Winter,Mizo,Very Safe,Yes,Local Traditions,4,1475,747,2,4.4,5,531,1458,251,822,3437,7991,930,3412
Manipur,Chilly,Low,29462,Cost Level: Low,Local Cuisine: 1274 INR per day,3-star: 1470 INR per night,"Loktak Lake, Kangla Fort","River Rafting, Cultural Tours, Trekking",Moderate,3.6/5,Winter,Manipuri,Moderately Safe,Yes,Local Traditions,8,809,1274,2,3.6,18,524,1275,128,601,3384,9278,1262,2679
Nagaland,Chilly,Medium,22230,Cost Level: High,Local Cuisine: 1124 INR per day,Luxury Resort: 4842 INR per night,"Kohima War Cemetery, Dzükou Valley","Boating, Cultural Tours, Wildlife Safari",Low,4.2/5,Summer,"English, Nagamese",Moderately Safe,Yes,Festival,10,1305,1124,2,4.2,17,576,1264,102,768,3374,6121,1696,3840
Nagaland,Pleasant,High,31419,Cost Level: Low,Local Cuisine: 1551 INR per day,Luxury Resort: 3399 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Wildlife Safari, Cultural Tours",Moderate,4.9/5,Summer,"English, Nagamese",Very Safe,Yes,Local Traditions,5,968,1551,2,4.9,28,395,1201,287,935,3587,7136,1613,2874
Arunachal Pradesh,Pleasant,Medium,39698,Cost Level: High,Local Cuisine: 1437 INR per day,3-star: 1880 INR per night,"Tawang Monastery, Ziro Valley",Wildlife Safari,Low,3.8/5,Summer,"Hindi, English",Moderately Safe,No,Local Traditions,9,1064,1437,2,3.8,20,425,1699,286,967,4149,8771,985,2587
Arunachal Pradesh,Rainy,High,36008,Cost Level: High,Local Cuisine: 771 INR per day,3-star: 3545 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Boating, Wildlife Safari",High,3.9/5,Winter,"Hindi, English",Safe for Solo Travelers,No,Festival,9,1998,771,2,3.9,8,395,1382,134,566,3744,9086,1840,3721
Assam,Rainy,High,29521,Cost Level: High,Local Cuisine: 1554 INR per day,Luxury Resort: 1263 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Trekking",High,3.6/5,Summer,Assamese,Moderately Safe,Yes,Local Traditions,9,858,1554,2,3.6,9,521,1936,230,577,3477,9304,818,2516
Manipur,Chilly,High,18676,Cost Level: High,Local Cuisine: 1302 INR per day,Luxury Resort: 2019 INR per night,"Loktak Lake, Kangla Fort","Boating, River Rafting",Low,4.7/5,Winter,Manipuri,Safe for Solo Travelers,Yes,Art Exhibitions,8,585,1302,2,4.7,19,362,1418,168,660,4981,8363,1626,3950
